,IMUx,IMUy,IMUvx,IMUvy,dt
0,0.0,0.0,0.0,0.0,9.846687316894531e-05
1,0.0,0.0,0.0,0.0,6.794929504394531e-05
2,0.0,0.0,0.0,0.0,6.628036499023438e-05
3,0.0,0.0,0.0,0.0,6.198883056640625e-05
4,0.0,0.0,0.0,0.0,5.936622619628906e-05
5,0.0,0.0,0.0,0.0,5.984306335449219e-05
6,0.0,0.0,0.0,0.0,5.602836608886719e-05
7,0.0,0.0,0.0,0.0,7.319450378417969e-05
8,0.0,0.0,0.0,0.0,5.53131103515625e-05
9,0.0,0.0,0.0,0.0,6.103515625e-05
10,0.0,0.0,0.0,0.0,5.9604644775390625e-05
11,0.0,0.0,0.0,0.0,5.793571472167969e-05
12,0.0,0.0,0.0,0.0,5.7697296142578125e-05
13,0.0,0.0,0.0,0.0,5.340576171875e-05
14,0.0,0.0,0.0,0.0,5.650520324707031e-05
15,0.0,0.0,0.0,0.0,5.4836273193359375e-05
16,0.0,0.0,0.0,0.0,8.535385131835938e-05
17,0.0,0.0,0.0,0.0,6.365776062011719e-05
18,0.0,0.0,0.0,0.0,6.556510925292969e-05
19,0.0,0.0,0.0,0.0,6.151199340820312e-05
20,0.0,0.0,0.0,0.0,5.7697296142578125e-05
21,0.0,0.0,0.0,0.0,5.841255187988281e-05
22,0.0,0.0,0.0,0.0,7.462501525878906e-05
23,0.0,0.0,0.0,0.0,6.628036499023438e-05
24,0.0,0.0,0.0,0.0,6.222724914550781e-05
25,0.0,0.0,0.0,0.0,5.745887756347656e-05
26,0.0,0.0,0.0,0.0,5.8650970458984375e-05
27,0.0,0.0,0.0,0.0,5.3882598876953125e-05
28,0.0,0.0,0.0,0.0,5.626678466796875e-05
29,0.0,0.0,0.0,0.0,5.698204040527344e-05
30,0.0,0.0,0.0,0.0,5.53131103515625e-05
31,0.0,0.0,0.0,0.0,5.698204040527344e-05
32,0.0,0.0,0.0,0.0,5.340576171875e-05
33,0.0,0.0,0.0,0.0,5.53131103515625e-05
34,0.0,0.0,0.0,0.0,5.316734313964844e-05
35,0.0,0.0,0.0,0.0,5.698204040527344e-05
36,0.0,0.0,0.0,0.0,5.888938903808594e-05
37,0.0,0.0,0.0,0.0,0.00014209747314453125
38,0.0,0.0,0.0,0.0,0.00010919570922851562
39,0.0,0.0,0.0,0.0,8.654594421386719e-05
40,0.0,0.0,0.0,0.0,7.033348083496094e-05
41,0.0,0.0,0.0,0.0,6.771087646484375e-05
42,0.0,0.0,0.0,0.0,5.817413330078125e-05
43,0.0,0.0,0.0,0.0,6.151199340820312e-05
44,0.0,0.0,0.0,0.0,6.0558319091796875e-05
45,0.0,0.0,0.0,0.0,5.507469177246094e-05
46,0.0,0.0,0.0,0.0,7.390975952148438e-05
47,0.0,0.0,0.0,0.0,6.389617919921875e-05
48,0.0,0.0,0.0,0.0,6.175041198730469e-05
49,0.0,0.0,0.0,0.0,6.008148193359375e-05
50,0.0,0.0,0.0,0.0,0.00010180473327636719
51,0.0,0.0,0.0,0.0,0.00011515617370605469
52,0.0,0.0,0.0,0.0,0.0001518726348876953
53,0.0,0.0,0.0,0.0,8.869171142578125e-05
54,0.0,0.0,0.0,0.0,9.918212890625e-05
55,0.0,0.0,0.0,0.0,6.651878356933594e-05
56,0.0,0.0,0.0,0.0,6.389617919921875e-05
57,0.0,0.0,0.0,0.0,5.841255187988281e-05
58,0.0,0.0,0.0,0.0,5.91278076171875e-05
59,0.0,0.0,0.0,0.0,6.151199340820312e-05
60,0.0,0.0,0.0,0.0,5.817413330078125e-05
61,0.0,0.0,0.0,0.0,5.459785461425781e-05
62,0.0,0.0,0.0,0.0,5.626678466796875e-05
63,0.0,0.0,0.0,0.0,5.602836608886719e-05
64,0.0,0.0,0.0,0.0,5.412101745605469e-05
65,0.0,0.0,0.0,0.0,6.318092346191406e-05
66,0.0,0.0,0.0,0.0,5.602836608886719e-05
67,0.0,0.0,0.0,0.0,5.7220458984375e-05
68,0.0,0.0,0.0,0.0,7.128715515136719e-05
69,0.0,0.0,0.0,0.0,7.43865966796875e-05
70,0.0,0.0,0.0,0.0,5.91278076171875e-05
